hanzi,pinyin,meaning_de,radicals,tags
爱,ài,lieben,爱,HSK1
八,bā,acht,八,HSK1
爸爸,bàba,Vater,爸爸,HSK1
吧,ba,Modalpartikel,吧,HSK1
百,bǎi,hundert,百,HSK1
杯子,bēizi,Becher/Glas,杯子,HSK1
本,běn,Heft/Band,本,HSK1
不客气,bú kèqi,Gern geschehen,不客气,HSK1
不,bù,nicht,不,HSK1
菜,cài,Gemüse/Gericht,菜,HSK1
茶,chá,Tee,茶,HSK1
吃,chī,essen,吃,HSK1
出租车,chūzūchē,Taxi,出租车,HSK1
打电话,dǎ diànhuà,telefonieren,打电话,HSK1
大,dà,groß,大,HSK1
大家,dàjiā,alle/jeder,大家,HSK1
大夫,dàifu,Arzt,大夫,HSK1
蛋糕,dàngāo,Kuchen,蛋糕,HSK1
当然,dāngrán,natürlich,当然,HSK1
到,dào,ankommen,到,HSK1
德国,Déguó,Deutschland,德国,HSK1
的,de,Attributpartikel,的,HSK1
等,děng,warten,等,HSK1
地方,dìfang,Ort/Stelle,地方,HSK1
地铁,dìtiě,U-Bahn,地铁,HSK1
电影,diànyǐng,Film,电影,HSK1
电脑,diànnǎo,Computer,电脑,HSK1
电视,diànshì,Fernsehen,电视,HSK1
电影院,diànyǐngyuàn,Kino,电影院,HSK1
东西,dōngxi,Sachen/Dinge,东西,HSK1
都,dōu,alle,都,HSK1
读,dú,lesen,读,HSK1
读书,dúshū,Bücher lesen,读书,HSK1
对不起,duìbuqǐ,Entschuldigung,对不起,HSK1
多,duō,viel/viele,多,HSK1
多少,duōshǎo,wieviel/wie viele,多少,HSK1
儿子,érzi,Sohn,儿子,HSK1
二,èr,zwei,二,HSK1
发炎,fāyán,entzündet sein,发炎,HSK1
饭,fàn,Reis; Mahlzeit,饭,HSK1
饭馆,fànguǎn,Restaurant,饭馆,HSK1
飞机,fēijī,Flugzeug,飞机,HSK1
分钟,fēnzhōng,Minute,分钟,HSK1
分,fēn,Minute/teilen,分,HSK1
高兴,gāoxìng,glücklich,高兴,HSK1
哥,gē,älterer Bruder,哥,HSK1
个,gè,Zähleinheitswort,个,HSK1
公司,gōngsī,Firma,公司,HSK1
工作,gōngzuò,arbeiten,工作,HSK1
狗,gǒu,Hund,狗,HSK1
刮风,guāfēng,es windet,刮风,HSK1
挂号,guàhào,Anmeldung,挂号,HSK1
贵,guì,teuer,贵,HSK1
国家,guójiā,Land,国家,HSK1
过,guò,vorbeigehen/feiern,过,HSK1
过节,guòjié,Feste feiern,过节,HSK1
还,hái,noch,还,HSK1
还是,háishi,oder (in Alternativfragen),还是,HSK1
孩子,háizi,Kind,孩子,HSK1
汉语,Hànyǔ,Chinesisch,汉语,HSK1
汉字,Hànzì,Schriftzeichen,汉字,HSK1
好,hǎo,gut,好,HSK1
好吃,hǎochī,lecker,好吃,HSK1
好看,hǎokàn,ansprechend,好看,HSK1
好听,hǎotīng,wohlklingend,好听,HSK1
好玩儿,hǎowánr,macht Spaß,好玩儿,HSK1
号,hào,Nummer,号,HSK1
喝,hē,trinken,喝,HSK1
和,hé,und,和,HSK1
合适,héshì,passend,合适,HSK1
盒,hé,Schachtel,盒,HSK1
黑,hēi,schwarz,黑,HSK1
黑色,hēisè,schwarz (Farbe),黑色,HSK1
很,hěn,sehr,很,HSK1
后,hòu,hinten/nach,后,HSK1
后边,hòubian,hinten/Rückseite,后边,HSK1
胡同,hútong,Gasse,胡同,HSK1
滑雪,huáxuě,Ski fahren,滑雪,HSK1
欢迎,huānyíng,willkommen heißen,欢迎,HSK1
换,huàn,wechseln,换,HSK1
回,huí,zurückkehren,回,HSK1
会,huì,können/werden,会,HSK1
活动,huódòng,Aktivität,活动,HSK1
机场,jīchǎng,Flughafen,机场,HSK1
鸡,jī,Huhn,鸡,HSK1
急诊,jízhěn,Notfall,急诊,HSK1
记者,jìzhě,Journalist,记者,HSK1
加拿大,Jiānádà,Kanada,加拿大,HSK1
叫,jiào,heißen/rufen,叫,HSK1
角,jiǎo,Jiao (1/10 Yuan),角,HSK1
京剧,jīngjù,Peking-Oper,京剧,HSK1
经济,jīngjì,Wirtschaft,经济,HSK1
经理,jīnglǐ,Manager,经理,HSK1
惊喜,jīngxǐ,Überraschung,惊喜,HSK1
酒吧,jiǔbā,Bar,酒吧,HSK1
咖啡厅,kāfēitīng,Café,咖啡厅,HSK1
可乐,kělè,Cola,可乐,HSK1
开车,kāichē,Auto fahren,开车,HSK1
看,kàn,sehen,看,HSK1
看病,kànbìng,zum Arzt gehen,看病,HSK1
可能,kěnéng,möglich,可能,HSK1
可惜,kěxí,bedauerlich,可惜,HSK1
可以,kěyǐ,können/dürfen,可以,HSK1
刻,kè,Viertelstunde,刻,HSK1
客气,kèqi,höflich,客气,HSK1
课,kè,Unterricht,课,HSK1
课文,kèwén,Lektionstext,课文,HSK1
空气,kōngqì,Luft,空气,HSK1
恐怕,kǒngpà,befürchten,恐怕,HSK1
口,kǒu,ZEW (Familie),口,HSK1
口语,kǒuyǔ,Umgangssprache,口语,HSK1
块(钱),kuài (qián),Yuan (ugs.),块(钱),HSK1
快,kuài,schnell,快,HSK1
快乐,kuàilè,fröhlich,快乐,HSK1
来,lái,kommen,来,HSK1
老,lǎo,alt,老,HSK1
老板,lǎobǎn,Chef,老板,HSK1
老师,lǎoshī,Lehrer,老师,HSK1
离,lí,entfernt von,离,HSK1
里,lǐ,in/innen,里,HSK1
力,lì,Kraft,力,HSK1
两,liǎng,zwei,两,HSK1
零,líng,,零,HSK1
六,liù,sechs,六,HSK1
妈妈,māmā,Mutter,妈妈,HSK1
吗,ma,Fragepartikel,吗,HSK1
买,mǎi,kaufen,买,HSK1
卖,mài,verkaufen,卖,HSK1
忙,máng,beschäftigt,忙,HSK1
猫,māo,Katze,猫,HSK1
没关系,méi guānxi,Das macht nichts,没关系,HSK1
名字,míngzi,Name,名字,HSK1
明天,míngtiān,morgen,明天,HSK1
哪,nǎ,welche/r/s,哪,HSK1
哪儿,nǎr,wo,哪儿,HSK1
哪里,nǎli,wo,哪里,HSK1
那,nà,jener/das,那,HSK1
男人,nánrén,Mann,男人,HSK1
难,nán,schwer,难,HSK1
奶牛,niúnǎi,Kuh/Milch (Kontext),奶牛,HSK1
女孩,nǚhái,Mädchen,女孩,HSK1
女儿,nǚ'ér,Tochter,女儿,HSK1
朋友,péngyou,Freund,朋友,HSK1
便宜,piányi,billig,便宜,HSK1
票,piào,Ticket,票,HSK1
起床,qǐchuáng,aufstehen,起床,HSK1
汽车,qìchē,Auto,汽车,HSK1
前,qián,vorn,前,HSK1
前边,qiánbian,vorderseite,前边,HSK1
钱,qián,Geld,钱,HSK1
巧克力,qiǎokèlì,Schokolade,巧克力,HSK1
请,qǐng,bitten/fragen,请,HSK1
请问,qǐngwèn,Darf ich fragen?,请问,HSK1
秋天,qiūtiān,Herbst,秋天,HSK1
去,qù,gehen,去,HSK1
全,quán,gesamt,全,HSK1
全身,quánshēn,ganzer Körper,全身,HSK1
让,ràng,lassen; erlauben,让,HSK1
热,rè,heiß,热,HSK1
人,rén,Mensch,人,HSK1
认识,rènshi,kennen; kennenlernen,认识,HSK1
日,rì,Tag; Sonne,日,HSK1
商店,shāngdiàn,Geschäft,商店,HSK1
上,shàng,oben; vorhergehend,上,HSK1
上海,Shànghǎi,Shanghai,上海,HSK1
上课,shàngkè,Unterricht haben,上课,HSK1
上网,shàngwǎng,ins Internet gehen,上网,HSK1
上午,shàngwǔ,Vormittag,上午,HSK1
少,shǎo,wenig,少,HSK1
身体,shēntǐ,Körper,身体,HSK1
什么,shénme,was,什么,HSK1
生日,shēngrì,Geburtstag,生日,HSK1
圣诞节,Shèngdàn Jié,Weihnachten,圣诞节,HSK1
时候,shíhou,Zeit; Moment,时候,HSK1
时间,shíjiān,Zeit,时间,HSK1
食堂,shítáng,Mensa,食堂,HSK1
是,shì,sein,是,HSK1
事儿,shìr,Sache/Angelegenheit,事儿,HSK1
手机,shǒujī,Handy,手机,HSK1
售货员,shòuhuòyuán,Verkäufer/in,售货员,HSK1
书,shū,Buch,书,HSK1
舒服,shūfu,bequem,舒服,HSK1
树,shù,Baum,树,HSK1
刷卡,shuākǎ,per Karte zahlen,刷卡,HSK1
谁,shéi,wer,谁,HSK1
水,shuǐ,Wasser,水,HSK1
睡,shuì,schlafen,睡,HSK1
睡觉,shuìjiào,schlafen,睡觉,HSK1
说,shuō,sagen,说,HSK1
宋华,Sòng Huá,Song Hua (Name),宋华,HSK1
送,sòng,schenken/bringen,送,HSK1
宿舍,sùshè,Wohnheim,宿舍,HSK1
岁,suì,Alter/Jahr,岁,HSK1
他,tā,er,他,HSK1
她,tā,sie,她,HSK1
太,tài,zu; äußerst,太,HSK1
特别,tèbié,besonders,特别,HSK1
疼,téng,schmerzen,疼,HSK1
体温,tǐwēn,Körpertemperatur,体温,HSK1
体育,tǐyù,Sport,体育,HSK1
体育馆,tǐyùguǎn,Sporthalle,体育馆,HSK1
天,tiān,Tag/Himmel,天,HSK1
天安门,Tiān'ān Mén,Tor des Himmlischen Friedens,天安门,HSK1
天气,tiānqì,Wetter,天气,HSK1
条,tiáo,ZEW für lange/dünne Dinge,条,HSK1
外婆,wàipó,Großmutter mütterlicherseits,外婆,HSK1
晚,wǎn,spät/Abend,晚,HSK1
晚上,wǎnshang,Abend,晚上,HSK1
王府井,Wángfǔjǐng,Wangfujing (Straße),王府井,HSK1
王小云,Wáng Xiǎoyún,Name,王小云,HSK1
网,wǎng,Netz/Internet,网,HSK1
为什么,wèishénme,warum,为什么,HSK1
喂,wèi,Hallo! (Telefon),喂,HSK1
文学,wénxué,Literatur,文学,HSK1
问,wèn,fragen,问,HSK1
问题,wèntí,Frage/Problem,问题,HSK1
我,wǒ,ich,我,HSK1
舞,wǔ,Tanz,舞,HSK1
西,xī,Westen,西,HSK1
西边,xībian,Westen; westlich,西边,HSK1
西方,Xīfāng,der Westen,西方,HSK1
喜欢,xǐhuan,mögen,喜欢,HSK1
下,xià,unten; nächste/r/s,下,HSK1
下午,xiàwǔ,Nachmittag,下午,HSK1
下雪,xià xuě,schneien,下雪,HSK1
下雨,xià yǔ,regnen,下雨,HSK1
夏天,xiàtiān,Sommer,夏天,HSK1
先,xiān,zuerst/vorher,先,HSK1
先生,xiānsheng,Herr/Mann,先生,HSK1
现在,xiànzài,jetzt,现在,HSK1
线,xiàn,Linie,线,HSK1
想,xiǎng,denken; vermissen,想,HSK1
响,xiǎng,klingen; laut sein,响,HSK1
想念,xiǎngniàn,vermissen,想念,HSK1
小姐,xiǎojiě,Fräulein/junge Frau,小姐,HSK1
校门,xiàomén,Schultor,校门,HSK1
些,xiē,einige,些,HSK1
写,xiě,schreiben,写,HSK1
血,xiě,Blut,血,HSK1
新,xīn,neu,新,HSK1
谢谢,xièxie,danke,谢谢,HSK1
学生,xuésheng,Schüler/Student,学生,HSK1
学习,xuéxí,lernen,学习,HSK1
学校,xuéxiào,Schule,学校,HSK1
雪,xuě,Schnee,雪,HSK1
眼睛,yǎnjing,Auge,眼睛,HSK1
牙,yá,Zahn,牙,HSK1
音乐会,yīnyuèhuì,Konzert,音乐会,HSK1
英语,Yīngyǔ,Englisch,英语,HSK1
银行,yínháng,Bank,银行,HSK1
运动,yùndòng,Sport/Bewegung,运动,HSK1
再,zài,nochmals/wieder,再,HSK1
再见,zàijiàn,Auf Wiedersehen,再见,HSK1
在,zài,sein; sich befinden,在,HSK1
咱们,zánmen,wir (inkl. Zuhörer),咱们,HSK1
早,zǎo,früh/Morgen,早,HSK1
早上,zǎoshang,Morgen/Vormittag,早上,HSK1
怎么,zěnme,wie; wieso,怎么,HSK1
怎么样,zěnmeyàng,wie ist ...?,怎么样,HSK1
展览,zhǎnlǎn,Ausstellung,展览,HSK1
张,zhāng,ZEW flache Gegenstände,张,HSK1
找,zhǎo,finden/suchen,找,HSK1
照片,zhàopiàn,Foto,照片,HSK1
这,zhè,dies (hier),这,HSK1
起床,qǐchuáng,aufstehen,起床,HSK1
起,qǐ,aufstehen (kurz),起,HSK1
钱,qián,Geld,钱,HSK1
前,qián,vorn,前,HSK1
前天,qiántiān,vorgestern,前天,HSK1
去,qù,gehen,去,HSK1
请,qǐng,bitten/fragen,请,HSK1
请问,qǐngwèn,Darf ich fragen?,请问,HSK1
晴天,qíngtiān,sonniger Tag,晴天,HSK1
全,quán,gesamt,全,HSK1
全部,quánbù,komplett,全部,HSK1
让,ràng,erlauben/lassen,让,HSK1
热,rè,heiß,热,HSK1
认识,rènshi,kennen/kennenlernen,认识,HSK1
人,rén,Person,人,HSK1
如果,rúguǒ,wenn,如果,HSK1
三,sān,drei,三,HSK1
三天,sān tiān,drei Tage,三天,HSK1
上网,shàngwǎng,ins Internet gehen,上网,HSK1
上课,shàngkè,Unterricht haben,上课,HSK1
上午,shàngwǔ,Vormittag,上午,HSK1
上海,Shànghǎi,Shanghai,上海,HSK1
商店,shāngdiàn,Geschäft,商店,HSK1
少,shǎo,wenig,少,HSK1
身体,shēntǐ,Körper,身体,HSK1
什么,shénme,was,什么,HSK1
时候,shíhou,Zeit/Moment,时候,HSK1
时间,shíjiān,Zeit,时间,HSK1
食堂,shítáng,Mensa,食堂,HSK1
书,shū,Buch,书,HSK1
舒服,shūfu,bequem,舒服,HSK1
树,shù,Baum,树,HSK1
水,shuǐ,Wasser,水,HSK1
水果,shuǐguǒ,Obst/Früchte,水果,HSK1
睡觉,shuìjiào,schlafen,睡觉,HSK1
说话,shuōhuà,sprechen,说话,HSK1
岁,suì,Jahre (Alter),岁,HSK1
宿舍,sùshè,Wohnheim,宿舍,HSK1
送,sòng,schenken/bringen,送,HSK1
宋华,Sòng Huá,Name,宋华,HSK1
手表,shǒubiǎo,Armbanduhr,手表,HSK1
手机,shǒujī,Handy,手机,HSK1
事情,shìqing,Sache/Angelegenheit,事情,HSK1
是,shì,sein,是,HSK1
时间,shíjiān,Zeit,时间,HSK1
所有,suǒyǒu,alle (formal),所有,HSK1
他,tā,er,他,HSK1
她,tā,sie,她,HSK1
它,tā,es (Dinge),它,HSK1
太,tài,zu; äußerst,太,HSK1
特别,tèbié,besonders,特别,HSK1
疼,téng,schmerzen,疼,HSK1
体温,tǐwēn,Körpertemperatur,体温,HSK1
体育,tǐyù,Sport,体育,HSK1
题,tí,Aufgabe/Frage,题,HSK1
条,tiáo,ZEW lang/dünn,条,HSK1
天气,tiānqì,Wetter,天气,HSK1
跳舞,tiàowǔ,tanzen,跳舞,HSK1
跳,tiào,springen,跳,HSK1
听,tīng,hören,听,HSK1
听说,tīngshuō,gehört haben,听说,HSK1
同学,tóngxué,Kommilitone/Schulfreund,同学,HSK1
头,tóu,Kopf,头,HSK1
图书馆,túshūguǎn,Bibliothek,图书馆,HSK1
外,wài,außen,外,HSK1
外边,wàibian,draußen/außerhalb,外边,HSK1
外婆,wàipó,Großmutter (mütterlich),外婆,HSK1
晚,wǎn,spät/Abend,晚,HSK1
晚上,wǎnshang,Abend,晚上,HSK1
