hanzi,pinyin,meaning_de,radicals,tags
爱,ài,lieben,爪,HSK1
八,bā,acht,八,HSK1
爸爸,bàba,Vater,父,HSK1
吧,ba,Modalpartikel,口,HSK1
百,bǎi,hundert,白,HSK1
杯子,bēizi,Becher/Glas,木,HSK1
本,běn,Heft/Band,木,HSK1
不客气,bú kèqi,Gern geschehen,心,HSK1
不,bù,nicht,一,HSK1
菜,cài,Gemüse/Gericht,艹,HSK1
茶,chá,Tee,艹,HSK1
吃,chī,essen,口,HSK1
出租车,chūzūchē,Taxi,车,HSK1
打电话,dǎ diànhuà,telefonieren,扌,HSK1
大,dà,groß,大,HSK1
大家,dàjiā,alle/jeder,大,HSK1
大夫,dàifu,Arzt,大,HSK1
蛋糕,dàngāo,Kuchen,⻩,HSK1
当然,dāngrán,natürlich,火,HSK1
到,dào,ankommen,刂,HSK1
德国,Déguó,Deutschland,囗,HSK1
的,de,Attributpartikel,白,HSK1
等,děng,warten,竹,HSK1
地方,dìfang,Ort/Stelle,土,HSK1
地铁,dìtiě,U-Bahn,土,HSK1
电影,diànyǐng,Film,电,HSK1
电脑,diànnǎo,Computer,电,HSK1
电视,diànshì,Fernsehen,电,HSK1
电影院,diànyǐngyuàn,Kino,电,HSK1
东西,dōngxi,Sachen/Dinge,木,HSK1
都,dōu,alle,邑,HSK1
读,dú,lesen,讠,HSK1
读书,dúshū,Bücher lesen,讠,HSK1
对不起,duìbuqǐ,Entschuldigung,⺮,HSK1
多,duō,viel/viele,夕,HSK1
多少,duōshǎo,wieviel/wie viele,夕,HSK1
儿子,érzi,Sohn,儿,HSK1
二,èr,zwei,二,HSK1
发炎,fāyán,entzündet sein,火,HSK1
饭,fàn,Reis; Mahlzeit,饣,HSK1
饭馆,fànguǎn,Restaurant,饣,HSK1
飞机,fēijī,Flugzeug,飞,HSK1
分钟,fēnzhōng,Minute,刀,HSK1
分,fēn,Minute/teilen,刀,HSK1
高兴,gāoxìng,glücklich,高,HSK1
哥,gē,älterer Bruder,口,HSK1
个,gè,Zähleinheitswort,人,HSK1
公司,gōngsī,Firma,八,HSK1
工作,gōngzuò,arbeiten,工,HSK1
狗,gǒu,Hund,犭,HSK1
刮风,guāfēng,es windet,风,HSK1
挂号,guàhào,Anmeldung,扌,HSK1
贵,guì,teuer,贝,HSK1
国家,guójiā,Land,囗,HSK1
过,guò,vorbeigehen/feiern,辵,HSK1
过节,guòjié,Feste feiern,辵,HSK1
还,hái,noch,辵,HSK1
还是,háishi,oder (in Alternativfragen),辵,HSK1
孩子,háizi,Kind,子,HSK1
汉语,Hànyǔ,Chinesisch,汉,HSK1
汉字,Hànzì,Schriftzeichen,汉,HSK1
好,hǎo,gut,女,HSK1
好吃,hǎochī,lecker,口,HSK1
好看,hǎokàn,ansprechend,目,HSK1
好听,hǎotīng,wohlklingend,口,HSK1
好玩儿,hǎowánr,macht Spaß,儿,HSK1
号,hào,Nummer,口,HSK1
喝,hē,trinken,口,HSK1
和,hé,und,禾,HSK1
合适,héshì,passend,口,HSK1
盒,hé,Schachtel,皿,HSK1
黑,hēi,schwarz,黑,HSK1
黑色,hēisè,schwarz (Farbe),黑,HSK1
很,hěn,sehr,彳,HSK1
后,hòu,hinten/nach,后,HSK1
后边,hòubian,hinten/Rückseite,后,HSK1
胡同,hútong,Gasse,口,HSK1
滑雪,huáxuě,Ski fahren,氵,HSK1
欢迎,huānyíng,willkommen heißen,辵,HSK1
换,huàn,wechseln,扌,HSK1
回,huí,zurückkehren,囗,HSK1
会,huì,können/werden,讠,HSK1
活动,huódòng,Aktivität,氵,HSK1
机场,jīchǎng,Flughafen,土,HSK1
鸡,jī,Huhn,鸟,HSK1
急诊,jízhěn,Notfall,疒,HSK1
记者,jìzhě,Journalist,讠,HSK1
加拿大,Jiānádà,Kanada,口,HSK1
叫,jiào,heißen/rufen,口,HSK1
角,jiǎo,Jiao (1/10 Yuan),月,HSK1
京剧,jīngjù,Peking-Oper,京,HSK1
经济,jīngjì,Wirtschaft,贝,HSK1
经理,jīnglǐ,Manager,贝,HSK1
惊喜,jīngxǐ,Überraschung,忄,HSK1
酒吧,jiǔbā,Bar,氵,HSK1
咖啡厅,kāfēitīng,Café,口,HSK1
可乐,kělè,Cola,口,HSK1
开车,kāichē,Auto fahren,车,HSK1
看,kàn,sehen,目,HSK1
看病,kànbìng,zum Arzt gehen,目,HSK1
可能,kěnéng,möglich,月,HSK1
可惜,kěxí,bedauerlich,忄,HSK1
可以,kěyǐ,können/dürfen,口,HSK1
刻,kè,Viertelstunde,刀,HSK1
客气,kèqi,höflich,宀,HSK1
课,kè,Unterricht,讠,HSK1
课文,kèwén,Lektionstext,讠,HSK1
空气,kōngqì,Luft,穴,HSK1
恐怕,kǒngpà,befürchten,心,HSK1
口,kǒu,ZEW (Familie),口,HSK1
